Skeleton 016:LFTC X,Skeleton 016:LFTC Y,Skeleton 016:LFTC Z
-785.775269,958.105652,-1245.510986
-785.869995,958.078369,-1245.574097
-785.915771,958.08728,-1245.652832
-785.933716,958.090515,-1245.795898
-786.016113,958.077454,-1245.967285
-786.128296,957.92865,-1246.229248
-786.53418,958.041443,-1246.279907
-786.730347,958.044067,-1246.351562
-786.842285,958.03595,-1246.427612
-786.891907,958.072021,-1246.490601
-786.945129,958.103088,-1246.593628
-787.069153,958.148865,-1246.7323
-787.280457,958.115051,-1246.866089
-787.507996,957.957092,-1246.976074
-787.753601,957.870056,-1246.962769
-787.874512,957.837524,-1246.99939
-787.912292,957.874817,-1247.013184
-787.896851,957.943481,-1247.088257
-787.923767,958.02948,-1247.218262
-788.090637,958.101379,-1247.333984
-788.337158,958.057861,-1247.362427
-788.598633,957.953857,-1247.313232
-788.793396,957.894836,-1247.272217
-788.850891,957.890503,-1247.25708
-788.894104,957.927979,-1247.311768
-788.959473,957.940369,-1247.364624
-789.142395,957.94342,-1247.456055
-789.325195,957.934021,-1247.500122
-789.474731,957.940857,-1247.513428
-789.519653,957.969055,-1247.534302
-789.496094,957.997375,-1247.555176
-789.500977,958.055847,-1247.630127
-789.644714,958.160522,-1247.788696
-789.864807,958.197998,-1247.909058
-790.123779,958.165955,-1247.949341
-790.352844,958.096313,-1247.909912
-790.493469,958.010925,-1247.872803
-790.56427,957.97699,-1247.862549
-790.609009,958.002441,-1247.911377
-790.69043,958.05127,-1248.03418
-790.834656,958.1427,-1248.266479
-790.9552,958.195862,-1248.398193
-791.088501,958.198792,-1248.480469
-791.208862,958.137146,-1248.421875
-791.307983,957.998901,-1248.344727
-791.494141,957.8255,-1248.354858
-791.809143,957.792603,-1248.308594
-792.116089,957.750671,-1248.377563
-792.280579,957.709839,-1248.427124
-792.414307,957.743469,-1248.545166
-792.420471,957.769409,-1248.476685
-792.479309,957.794922,-1248.568726
-792.542786,957.80127,-1248.627563
-792.664429,957.820984,-1248.717041
-792.862366,957.887634,-1248.776001
-793.027954,957.905212,-1248.804688
-793.127136,957.90625,-1248.798462
-793.176819,957.908813,-1248.808228
-793.212952,957.905212,-1248.83313
-793.265686,957.894775,-1248.902466
-793.381226,957.876648,-1248.992554
-793.565857,957.890747,-1249.082397
-793.730652,957.867432,-1249.140869
-793.832825,957.78772,-1249.132935
-793.880493,957.699402,-1249.142944
-793.927307,957.681946,-1249.18396
-793.975708,957.682678,-1249.271606
-794.06366,957.69165,-1249.415161
-794.21936,957.715576,-1249.534668
-794.318665,957.561035,-1249.661255
-794.456055,957.433044,-1249.64209
-794.593811,957.418152,-1249.715576
-794.61261,957.413574,-1249.740845
-794.593018,957.443726,-1249.850586
-794.697937,957.518982,-1249.989746
-794.865784,957.531006,-1250.078735
-795.075256,957.420044,-1250.147095
-795.267944,957.315491,-1250.061768
-795.351013,957.239868,-1250.037842
-795.382629,957.233948,-1250.085693
-795.398987,957.233215,-1250.181641
-795.531311,957.273682,-1250.31189
-795.701355,957.271057,-1250.432495
-795.831055,957.297546,-1250.552368
-795.855408,957.28186,-1250.589111
-795.83783,957.291992,-1250.61438
-795.809265,957.317688,-1250.68689
-795.846008,957.349243,-1250.850586
-795.977173,957.382446,-1251.07312
-796.154541,957.384094,-1251.265381
-796.291443,957.365662,-1251.380859
-796.374207,957.332703,-1251.439331
-796.416321,957.326721,-1251.51062
-796.445129,957.340454,-1251.65332
-796.496887,957.389404,-1251.847656
-796.611511,957.393372,-1252.059692
-796.761719,957.367493,-1252.25708
-796.897461,957.288696,-1252.377319
-796.989197,957.213257,-1252.460693
-797.020752,957.17157,-1252.589355
-797.032471,957.197449,-1252.769531
-797.098083,957.237671,-1252.996094
-797.201172,957.245605,-1253.272461
-797.311279,957.274963,-1253.481445
-797.382324,957.238831,-1253.652222
-797.502991,957.264221,-1253.884521
-797.550354,957.193298,-1254.034668
-797.545959,957.006653,-1254.266357
-797.715027,957.005188,-1254.510132
-797.882935,957.02301,-1254.821289
-798.055908,957.049194,-1255.146973
-798.161011,957.040833,-1255.365845
-798.211121,956.972778,-1255.547974
-798.264099,956.925842,-1255.70459
-798.304565,956.867004,-1255.890259
-798.398743,956.826538,-1256.142578
-798.502625,956.796875,-1256.380737
-798.593872,956.822205,-1256.604736
-798.6297,956.848877,-1256.769409
-798.582092,956.875977,-1256.940552
-798.502747,956.940125,-1257.123535
-798.407593,957.156921,-1257.436035
-798.359009,957.598755,-1257.902954
-798.45459,957.856934,-1258.350708
-798.601196,957.826416,-1258.565918
-798.735596,957.757874,-1258.751587
-798.852417,957.673035,-1258.903931
-798.976746,957.483276,-1259.102051
-799.188354,957.397339,-1259.391846
-799.414734,957.450073,-1259.825317
-799.591309,957.569824,-1260.32251
-799.808777,957.716003,-1260.705933
-799.99176,957.78125,-1260.992676
-800.138733,957.700867,-1261.166748
-800.239563,957.567932,-1261.337646
-800.354675,957.520386,-1261.580688
-800.523071,957.671082,-1261.932983
-800.6745,957.961792,-1262.328613
-800.83844,958.135681,-1262.588501
-800.951782,958.161133,-1262.745239
-801.051819,958.076904,-1262.874634
-801.102661,958.004395,-1263.019287
-801.182617,958.005798,-1263.22937
-801.288574,958.122803,-1263.474976
-801.372131,958.162476,-1263.616455
-801.431885,958.131104,-1263.678711
-801.484436,958.127869,-1263.698242
